returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
10,10,7,9,8,1.136183738708274
10,10,8,9,5,1.3459920883180931
4,10,9,9,2,-0.2073049545288086
0,10,0,0,0,-14.002919197082297
2,10,0,1,0,-0.5037784576416016
0,10,0,1,3,-1.9096136093141869
0,10,0,0,2,-1.6026496887207031
5,10,0,0,6,0.0
1,10,0,0,5,-0.9990334510804333
0,10,0,0,4,-1.0965466499327503
3,10,0,0,5,-0.2987384796142578
3,10,0,0,5,-0.29838085174560547
2,10,0,0,5,-0.4971623420715332
8,10,0,0,7,0.5966424942017712
9,10,0,0,7,0.6968379020689808
5,10,0,0,6,0.09965896606445312
5,10,1,0,5,0.09953975677501337
8,10,2,0,10,0.49865245819080695
7,10,5,0,9,0.2993345260619007
9,10,8,0,10,0.6992220878602184
0,10,9,0,5,-1.1980533599853516
0,9,8,0,0,-1.6924142837524414
10,9,9,0,10,2.1912455558775745
7,9,10,1,9,0.2995729446412243
10,9,10,3,10,2.101898193359375
3,9,10,5,4,-0.3007650375366211
0,9,10,4,0,-1.7012357711790882
8,9,10,5,3,0.5997419357298694
1,9,10,5,3,-0.6996393203735352
9,9,10,7,7,0.6996393203735352
2,9,10,7,4,-0.49978494644153937
7,9,10,7,6,0.3997683525084339
1,8,10,7,3,-0.6995201110839844
0,8,9,6,1,-1.0972023010253906
5,8,8,5,2,0.0
5,8,8,5,2,0.09953975677501337
5,8,8,5,3,0.0
6,8,8,5,6,0.199437141418346
5,7,8,4,6,0.0
2,7,7,3,3,-0.597834587097168
8,7,7,5,8,0.597834587097168
1,7,7,6,2,-0.796973705291748
5,6,7,3,2,0.0
2,6,6,2,2,-0.5968809127806507
1,6,5,0,3,-0.6954669952393688
5,6,5,0,7,0.09930133819580078
10,5,6,3,10,1.4917850494383655
10,5,8,4,10,1.596212387085183
6,5,9,5,8,0.19979476928699835
0,5,9,3,0,-1.5967488288879395
8,4,9,4,3,0.5981922149658203
10,4,10,6,10,2.199530601501465
1,4,10,6,4,-0.8009672164916992
5,4,10,7,2,-0.10001659393310547
1,4,9,6,1,-0.7995367050170898
10,4,9,7,9,1.6002655029296875
1,3,9,6,4,-0.8007287979125977
2,3,8,6,1,-0.49978494644153937
6,3,8,6,5,0.19979476928699835
8,3,8,7,8,0.6001591682434082
2,3,7,6,2,-0.40018558502197266
3,3,7,7,1,-0.2999305725097656
1,3,6,6,1,-0.6991028785706677
10,4,6,8,10,1.8997788429261364
1,4,6,8,3,-0.8007287979125977
2,4,6,7,0,-0.3999471664428711
8,4,6,7,7,0.59998035430886
2,4,5,5,2,-0.40006637573231085
0,3,4,4,0,-1.2980103492735706
9,3,4,6,9,0.9982585906983532
0,3,1,3,3,-3.68344783782959
5,3,1,1,2,-0.09918212890636102
10,3,1,3,9,1.2907981872559704
10,3,2,4,10,1.6930699348448597
0,3,2,4,3,-1.2952685356140137
0,3,1,2,0,-1.7877817153930664
10,3,2,3,9,2.0864009857178845
10,3,8,7,10,5.70744276046764
0,3,9,6,5,-2.2106170654299095
3,3,9,5,1,-0.3006458282470703
0,3,9,5,1,-1.400768756866344
9,3,9,5,6,1.0001063346859462
9,3,9,6,9,1.0023117065431908
5,3,9,5,7,-0.10037422180175781
7,3,9,6,5,0.3010034561159447
8,3,9,6,7,0.6024837493894264
1,3,9,5,3,-0.9034872055053711
2,3,8,5,2,-0.40102005004905017
2,3,7,6,2,-0.6009340286252662
2,3,5,5,2,-0.40030479431152344
1,3,3,7,0,-0.6996393203735352
0,3,2,6,0,-1.1970996856689453
1,3,1,5,2,-0.9954571723937988
9,3,1,4,9,0.6965994834899902
5,3,1,5,7,0.0
4,3,1,6,4,-0.19913911819458008
10,3,2,6,10,1.695096492767334
1,3,2,1,4,-0.9978413581848145
7,3,2,2,4,0.29915571212768555
6,3,3,3,7,0.1995563507080078
10,3,6,7,10,2.701401710510254
1,3,7,5,7,-1.0023117065431908
9,3,8,5,7,1.0023117065431908
2,3,8,4,4,-0.601649284362793
7,3,9,5,6,0.40090084075927734
10,3,9,5,9,1.3053417205810547
5,3,9,6,6,0.0
5,3,9,6,4,0.0
7,3,9,7,4,0.3018379211425781
6,3,9,8,6,0.2012252807614967
8,3,9,9,1,0.5034208297733933
1,3,8,9,1,-1.0064840316774681
9,3,8,10,6,0.8050203323366478
3,3,8,9,5,-0.301957130432573
1,3,6,9,0,-0.9050369262693092
3,3,5,8,1,-0.3012418746948242
10,3,5,8,9,1.1055469512937233
8,3,5,9,9,0.6041526794438035
0,3,3,7,0,-2.512216567993386
2,3,2,6,0,-0.40090084075927734
6,3,1,4,6,0.20039081573486328
0,3,1,3,3,-2.0000338554383434
0,3,0,2,7,-1.5941858291623756
9,3,0,3,9,0.9957551956175648
10,3,0,4,10,1.2975335121154785
7,3,1,3,8,0.2999305725097656
0,3,1,2,1,-1.8963813781738281
0,3,0,1,0,-1.5913844108581543
9,3,0,1,4,0.6955862045288086
9,3,1,2,8,0.6965994834899902
2,3,1,1,4,-0.4976391792296253
5,3,1,1,4,-0.09948015213023798
6,3,2,1,7,0.19890069961547852
4,3,2,1,6,-0.19890069961547852
1,3,2,1,2,-0.6957650184631348
7,3,3,2,7,0.2980232238769531
4,3,3,1,5,-0.19866228103637695
6,3,4,1,6,0.19866228103637695
1,3,4,1,2,-0.6952285766601562
1,2,3,1,2,-0.8922815322875977
0,2,0,0,6,-5.810856819152832
10,2,0,1,9,1.8638372421265759
1,2,0,1,5,-0.9818077087403454
10,2,0,2,10,2.951323986053578
1,2,1,1,7,-0.8871555328370251
0,2,1,1,0,-2.1622180938721813
10,2,1,1,5,1.178145408630371
2,2,2,2,5,-0.5894303321837269
0,2,1,1,1,-2.643883228302002
4,2,1,0,5,-0.1953244209290661
1,2,1,0,4,-0.8778572082519531
9,2,1,1,6,0.6825923919679955
10,2,3,2,10,3.230929374694824
0,1,2,1,3,-5.567431449890248
0,1,1,1,0,-1.5514492988585316
7,1,1,1,4,0.2904534339903675
5,1,1,1,5,0.0
1,1,1,1,3,-0.8710026741027832
0,1,1,1,2,-1.4484524726868786
5,1,1,1,4,0.0
9,1,1,2,7,0.7718801498414196
2,0,2,1,5,-0.4825592041015625
9,0,4,2,7,0.6757974624633789
4,0,5,0,5,-0.1932382583618164
3,0,6,0,4,-0.2895593643189587
10,0,9,2,9,2.1278858184815563
10,0,10,3,10,3.697335720062256
0,0,10,3,4,-2.2411346435545765
10,0,10,5,8,2.1434426307677112
0,0,10,4,5,-1.1703968048095703
9,0,10,5,7,1.0727643966673694
0,0,10,3,0,-3.986358642578014
0,0,9,1,0,-2.4150609970091663
10,0,9,4,8,2.4150609970091663
5,0,9,5,8,0.09673833847045898
8,0,9,5,7,0.5815625190735974
0,0,8,4,2,-1.4523863792420544
9,0,8,5,6,0.9676814079284668
3,0,8,6,6,-0.2904534339903675
4,0,8,6,4,-0.19365549087524414
5,0,8,5,7,0.0
7,0,8,6,7,0.38725137710560187
8,0,8,6,8,0.4845857620240368
2,0,8,6,3,-0.5813241004944958
1,0,7,5,2,-0.9675025939941406
2,0,6,4,4,-0.48291683197021484
5,0,6,2,5,0.0
9,0,6,3,9,0.9663701057434082
0,0,4,1,0,-2.3162364959717907
0,0,1,1,1,-3.5497546195983887
0,0,0,0,4,-2.0985007286070667
9,0,0,1,9,0.7620453834534802
1,0,0,1,6,-0.6668567657471813
6,0,0,0,4,0.19037723541259766
6,0,0,0,6,0.19055604934692383
0,0,0,0,1,-1.8068552017211914
0,0,0,0,2,-3.4995079040527344
10,0,0,0,8,1.3211965560913086
1,0,0,0,4,-1.0384321212769665
0,0,0,0,4,-1.6003251075743519
0,0,0,0,4,-2.063274383544811
10,0,0,0,8,2.157270908355602
6,0,0,0,8,0.18799304962158203
1,0,1,0,5,-0.9394288063048206
5,0,2,0,5,0.09387731552124023
0,0,0,0,1,-13.423502445221057
10,0,0,1,10,10.242104530334473
7,0,1,1,10,0.2799034118653454
0,0,1,1,2,-2.3273229599000134
2,0,1,1,4,-0.5568265914915882
5,0,2,2,7,0.09274482727039679
10,0,5,2,8,1.207590103149414
10,0,9,3,10,3.6411285400389515
9,0,10,3,10,0.656425952911488
0,0,10,2,1,-3.925323486328236
2,0,10,2,1,-0.37223100662220343
4,0,10,3,4,-0.18590688705444336
10,0,10,4,9,2.89076566696167
