returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
1,1,3,2,1,0.0
2,1,3,2,1,0.3018379211425781
2,1,3,2,2,0.2012252807614967
3,1,3,3,0,0.5034208297733933
0,1,3,3,0,-1.0064840316774681
3,1,3,3,2,0.8050203323366478
1,1,2,3,1,-0.301957130432573
0,1,2,3,0,-0.9050369262693092
1,1,1,3,0,-0.3012418746948242
3,1,1,3,3,1.1055469512937233
3,1,2,3,3,0.6041526794438035
0,1,1,2,0,-2.512216567993386
1,1,0,2,0,-0.40090084075927734
2,1,0,1,2,0.20039081573486328
0,1,0,1,1,-2.0000338554383434
0,1,0,0,2,-1.5941858291623756
3,1,0,1,3,0.9957551956175648
3,1,0,1,3,1.2975335121154785
2,1,0,1,3,0.2999305725097656
0,1,0,0,0,-1.8963813781738281
0,1,0,0,0,-1.5913844108581543
3,1,0,0,1,0.6955862045288086
3,1,0,0,3,0.6965994834899902
0,1,0,0,1,-0.4976391792296253
1,1,0,0,1,-0.09948015213023798
2,1,0,0,2,0.19890069961547852
1,1,0,0,2,-0.19890069961547852
0,1,0,0,0,-0.6957650184631348
2,1,1,0,2,0.2980232238769531
1,1,1,0,2,-0.19866228103637695
2,1,1,0,2,0.19866228103637695
0,1,1,0,0,-0.6952285766601562
0,1,1,0,0,-0.8922815322875977
0,1,0,0,2,-5.810856819152832
3,1,0,0,3,1.8638372421265759
0,0,0,0,1,-0.9818077087403454
3,0,0,0,3,2.951323986053578
0,0,0,0,2,-0.8871555328370251
0,0,0,0,0,-2.1622180938721813
3,0,0,0,2,1.178145408630371
0,0,0,0,2,-0.5894303321837269
0,0,0,0,0,-2.643883228302002
1,0,0,0,1,-0.1953244209290661
0,0,0,0,1,-0.8778572082519531
3,0,0,0,2,0.6825923919679955
3,0,1,0,3,3.230929374694824
0,0,0,0,1,-5.567431449890248
0,0,0,0,0,-1.5514492988585316
2,0,0,0,1,0.2904534339903675
1,0,0,0,2,0.0
0,0,0,0,1,-0.8710026741027832
0,0,0,0,0,-1.4484524726868786
1,0,0,0,1,0.0
3,0,0,0,2,0.7718801498414196
0,0,0,0,1,-0.4825592041015625
3,0,1,0,2,0.6757974624633789
1,0,2,0,2,-0.1932382583618164
1,0,2,0,1,-0.2895593643189587
3,0,3,0,3,2.1278858184815563
3,0,3,1,3,3.697335720062256
0,0,3,1,1,-2.2411346435545765
3,0,3,1,3,2.1434426307677112
0,0,3,1,1,-1.1703968048095703
3,0,3,2,2,1.0727643966673694
0,0,3,1,0,-3.986358642578014
0,0,3,0,0,-2.4150609970091663
3,0,3,1,3,2.4150609970091663
2,0,3,1,3,0.09673833847045898
