returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
8,8,5,7,6,1.136183738708274
8,8,7,7,4,1.3459920883180931
3,8,7,8,1,-0.2073049545288086
0,8,0,0,0,-14.002919197082297
2,8,0,0,0,-0.5037784576416016
0,8,0,0,3,-1.9096136093141869
0,8,0,0,2,-1.6026496887207031
4,8,0,0,5,0.0
0,8,0,0,4,-0.9990334510804333
0,8,0,0,3,-1.0965466499327503
2,8,0,0,4,-0.2987384796142578
2,8,0,0,4,-0.29838085174560547
2,8,0,0,4,-0.4971623420715332
7,8,0,0,6,0.5966424942017712
7,8,0,0,6,0.6968379020689808
4,8,0,0,5,0.09965896606445312
4,8,1,0,4,0.09953975677501337
6,8,2,0,8,0.49865245819080695
6,8,4,0,7,0.2993345260619007
7,8,6,0,8,0.6992220878602184
0,8,7,0,4,-1.1980533599853516
0,8,7,0,0,-1.6924142837524414
8,8,7,0,8,2.1912455558775745
6,8,8,1,8,0.2995729446412243
8,8,8,3,8,2.101898193359375
2,7,8,4,3,-0.3007650375366211
0,7,8,4,0,-1.7012357711790882
7,7,8,4,2,0.5997419357298694
1,7,8,4,2,-0.6996393203735352
7,7,8,5,5,0.6996393203735352
2,7,8,5,3,-0.49978494644153937
6,7,8,6,5,0.3997683525084339
1,7,8,6,2,-0.6995201110839844
0,7,7,4,0,-1.0972023010253906
4,7,7,4,2,0.0
4,6,6,4,2,0.09953975677501337
4,6,6,4,2,0.0
5,6,6,4,5,0.199437141418346
4,6,6,3,4,0.0
1,6,6,3,2,-0.597834587097168
7,6,6,4,7,0.597834587097168
1,5,6,5,1,-0.796973705291748
4,5,5,3,2,0.0
1,5,5,2,2,-0.5968809127806507
1,5,4,0,2,-0.6954669952393688
4,5,4,0,6,0.09930133819580078
8,4,5,2,8,1.4917850494383655
8,4,6,3,8,1.596212387085183
5,4,7,4,7,0.19979476928699835
0,4,7,2,0,-1.5967488288879395
7,4,7,3,3,0.5981922149658203
8,3,8,5,8,2.199530601501465
1,3,8,5,3,-0.8009672164916992
4,3,8,6,2,-0.10001659393310547
1,3,7,5,1,-0.7995367050170898
8,3,8,6,8,1.6002655029296875
1,3,7,5,3,-0.8007287979125977
2,3,7,5,1,-0.49978494644153937
5,3,6,5,4,0.19979476928699835
7,3,6,6,7,0.6001591682434082
2,3,6,5,1,-0.40018558502197266
2,3,5,5,1,-0.2999305725097656
1,3,4,5,1,-0.6991028785706677
8,3,5,6,8,1.8997788429261364
1,3,5,6,2,-0.8007287979125977
2,3,4,6,0,-0.3999471664428711
7,3,5,5,6,0.59998035430886
2,3,4,4,1,-0.40006637573231085
0,3,3,3,0,-1.2980103492735706
8,3,3,5,7,0.9982585906983532
0,3,1,2,3,-3.68344783782959
4,3,0,1,1,-0.09918212890636102
8,3,1,2,7,1.2907981872559704
8,3,1,3,8,1.6930699348448597
0,3,1,3,2,-1.2952685356140137
0,2,1,1,0,-1.7877817153930664
8,2,2,3,7,2.0864009857178845
8,2,6,6,8,5.70744276046764
0,2,7,4,4,-2.2106170654299095
2,2,7,4,1,-0.3006458282470703
0,2,7,4,1,-1.400768756866344
8,2,7,4,5,1.0001063346859462
8,2,7,5,7,1.0023117065431908
4,2,7,4,5,-0.10037422180175781
6,2,7,5,4,0.3010034561159447
7,2,7,5,6,0.6024837493894264
1,3,7,4,2,-0.9034872055053711
2,3,6,4,2,-0.40102005004905017
1,2,5,5,2,-0.6009340286252662
2,2,4,4,2,-0.40030479431152344
1,2,3,6,0,-0.6996393203735352
0,2,1,5,0,-1.1970996856689453
0,2,1,4,1,-0.9954571723937988
7,2,0,3,7,0.6965994834899902
4,2,0,4,6,0.0
3,2,1,5,3,-0.19913911819458008
8,2,1,5,8,1.695096492767334
0,2,1,1,3,-0.9978413581848145
6,2,2,2,3,0.29915571212768555
5,2,2,2,6,0.1995563507080078
8,2,5,5,8,2.701401710510254
0,2,6,4,5,-1.0023117065431908
8,2,7,4,5,1.0023117065431908
1,2,7,4,3,-0.601649284362793
6,2,7,4,5,0.40090084075927734
8,2,7,4,7,1.3053417205810547
4,2,8,5,5,0.0
4,2,7,5,3,0.0
6,2,7,6,4,0.3018379211425781
5,2,7,6,5,0.2012252807614967
6,2,7,7,1,0.5034208297733933
0,2,7,7,0,-1.0064840316774681
7,2,7,8,5,0.8050203323366478
2,2,6,8,4,-0.301957130432573
1,2,5,7,0,-0.9050369262693092
2,2,4,7,1,-0.3012418746948242
8,2,4,7,7,1.1055469512937233
7,2,4,8,8,0.6041526794438035
0,2,2,6,0,-2.512216567993386
2,2,1,5,0,-0.40090084075927734
5,2,1,3,4,0.20039081573486328
0,3,0,3,2,-2.0000338554383434
0,3,0,1,6,-1.5941858291623756
8,3,0,2,7,0.9957551956175648
8,3,0,3,8,1.2975335121154785
6,3,0,2,7,0.2999305725097656
0,3,0,1,0,-1.8963813781738281
0,3,0,1,0,-1.5913844108581543
7,2,0,1,4,0.6955862045288086
7,2,0,1,7,0.6965994834899902
2,2,1,1,3,-0.4976391792296253
4,2,1,1,3,-0.09948015213023798
5,2,1,1,6,0.19890069961547852
3,2,2,1,5,-0.19890069961547852
1,2,2,1,1,-0.6957650184631348
6,2,2,1,5,0.2980232238769531
3,2,2,1,4,-0.19866228103637695
5,2,3,0,5,0.19866228103637695
1,2,3,1,1,-0.6952285766601562
1,2,2,1,1,-0.8922815322875977
0,2,0,0,4,-5.810856819152832
8,2,0,1,8,1.8638372421265759
0,2,0,1,4,-0.9818077087403454
8,2,0,2,8,2.951323986053578
1,2,1,1,6,-0.8871555328370251
0,2,1,0,0,-2.1622180938721813
8,2,1,1,4,1.178145408630371
1,2,1,1,4,-0.5894303321837269
0,1,1,1,0,-2.643883228302002
3,1,1,0,4,-0.1953244209290661
1,1,0,0,3,-0.8778572082519531
7,1,1,0,5,0.6825923919679955
8,1,3,2,8,3.230929374694824
0,1,1,1,2,-5.567431449890248
0,1,1,1,0,-1.5514492988585316
6,1,0,1,3,0.2904534339903675
4,1,1,1,4,0.0
1,1,1,0,2,-0.8710026741027832
0,1,0,0,1,-1.4484524726868786
4,0,0,0,3,0.0
7,0,1,1,6,0.7718801498414196
2,0,2,1,4,-0.4825592041015625
7,0,3,1,5,0.6757974624633789
3,0,4,0,4,-0.1932382583618164
2,0,5,0,3,-0.2895593643189587
8,0,7,1,7,2.1278858184815563
8,0,8,3,8,3.697335720062256
0,0,8,2,3,-2.2411346435545765
8,0,8,4,7,2.1434426307677112
0,0,8,3,4,-1.1703968048095703
8,0,8,4,5,1.0727643966673694
0,0,8,3,0,-3.986358642578014
0,0,8,1,0,-2.4150609970091663
8,0,7,3,7,2.4150609970091663
4,0,7,4,7,0.09673833847045898
7,0,7,4,6,0.5815625190735974
0,0,6,4,1,-1.4523863792420544
8,0,6,4,5,0.9676814079284668
2,0,6,5,5,-0.2904534339903675
3,0,6,5,3,-0.19365549087524414
4,0,6,4,5,0.0
6,0,6,5,6,0.38725137710560187
6,0,7,5,6,0.4845857620240368
1,0,6,4,3,-0.5813241004944958
0,0,6,4,1,-0.9675025939941406
2,0,5,3,3,-0.48291683197021484
4,0,4,1,4,0.0
8,0,5,3,7,0.9663701057434082
0,0,4,1,0,-2.3162364959717907
0,0,1,0,1,-3.5497546195983887
0,0,0,0,3,-2.0985007286070667
7,0,0,1,7,0.7620453834534802
1,0,0,1,5,-0.6668567657471813
5,0,0,0,4,0.19037723541259766
5,0,0,0,5,0.19055604934692383
0,0,0,0,1,-1.8068552017211914
0,0,0,0,2,-3.4995079040527344
8,0,0,0,6,1.3211965560913086
0,0,0,0,3,-1.0384321212769665
0,0,0,0,4,-1.6003251075743519
0,0,0,0,3,-2.063274383544811
8,0,0,0,6,2.157270908355602
5,0,0,0,6,0.18799304962158203
0,0,1,0,4,-0.9394288063048206
4,0,1,0,4,0.09387731552124023
0,0,0,0,1,-13.423502445221057
8,0,0,1,8,10.242104530334473
6,0,0,1,8,0.2799034118653454
0,0,1,1,2,-2.3273229599000134
1,0,1,1,3,-0.5568265914915882
4,0,2,1,5,0.09274482727039679
