returns_binned,SMA_ratio_binned,MACD_hist_binned,RSI_binned,SO_diff_binned,Profit
4,4,3,4,3,1.136183738708274
4,4,3,4,2,1.3459920883180931
1,4,4,4,0,-0.2073049545288086
0,4,0,0,0,-14.002919197082297
1,4,0,0,0,-0.5037784576416016
0,4,0,0,1,-1.9096136093141869
0,4,0,0,1,-1.6026496887207031
2,4,0,0,2,0.0
0,4,0,0,2,-0.9990334510804333
0,4,0,0,2,-1.0965466499327503
1,4,0,0,2,-0.2987384796142578
1,4,0,0,2,-0.29838085174560547
1,4,0,0,2,-0.4971623420715332
4,4,0,0,3,0.5966424942017712
4,4,0,0,3,0.6968379020689808
2,4,0,0,2,0.09965896606445312
2,4,0,0,2,0.09953975677501337
3,4,1,0,4,0.49865245819080695
3,4,2,0,4,0.2993345260619007
4,4,3,0,4,0.6992220878602184
0,4,4,0,2,-1.1980533599853516
0,4,3,0,0,-1.6924142837524414
4,4,4,0,4,2.1912455558775745
3,4,4,0,4,0.2995729446412243
4,4,4,1,4,2.101898193359375
1,4,4,2,1,-0.3007650375366211
0,4,4,2,0,-1.7012357711790882
4,4,4,2,1,0.5997419357298694
0,4,4,2,1,-0.6996393203735352
4,4,4,3,3,0.6996393203735352
1,4,4,3,2,-0.49978494644153937
3,4,4,3,2,0.3997683525084339
0,4,4,3,1,-0.6995201110839844
0,3,4,2,0,-1.0972023010253906
2,3,4,2,1,0.0
2,3,3,2,1,0.09953975677501337
2,3,3,2,1,0.0
3,3,3,2,2,0.199437141418346
2,3,3,2,2,0.0
0,3,3,1,1,-0.597834587097168
4,3,3,2,3,0.597834587097168
0,3,3,2,1,-0.796973705291748
2,3,3,1,1,0.0
0,3,2,1,1,-0.5968809127806507
0,2,2,0,1,-0.6954669952393688
2,2,2,0,3,0.09930133819580078
4,2,2,1,4,1.4917850494383655
4,2,3,2,4,1.596212387085183
3,2,4,2,3,0.19979476928699835
0,2,4,1,0,-1.5967488288879395
4,2,4,2,1,0.5981922149658203
4,2,4,2,4,2.199530601501465
0,1,4,2,1,-0.8009672164916992
2,1,4,3,1,-0.10001659393310547
0,1,4,2,0,-0.7995367050170898
4,1,4,3,4,1.6002655029296875
0,1,4,3,2,-0.8007287979125977
1,1,4,2,0,-0.49978494644153937
3,1,3,2,2,0.19979476928699835
4,1,3,3,3,0.6001591682434082
1,1,3,3,0,-0.40018558502197266
1,1,3,3,0,-0.2999305725097656
0,1,2,2,0,-0.6991028785706677
4,1,3,3,4,1.8997788429261364
0,1,3,3,1,-0.8007287979125977
1,1,2,3,0,-0.3999471664428711
4,1,2,3,3,0.59998035430886
1,1,2,2,1,-0.40006637573231085
0,1,1,2,0,-1.2980103492735706
4,1,1,2,4,0.9982585906983532
0,1,0,1,1,-3.68344783782959
2,1,0,0,1,-0.09918212890636102
4,1,0,1,4,1.2907981872559704
4,1,0,2,4,1.6930699348448597
0,1,1,1,1,-1.2952685356140137
0,1,0,0,0,-1.7877817153930664
4,1,1,1,4,2.0864009857178845
4,1,3,3,4,5.70744276046764
0,1,4,2,2,-2.2106170654299095
1,1,4,2,0,-0.3006458282470703
0,1,4,2,0,-1.400768756866344
4,1,4,2,3,1.0001063346859462
4,1,4,2,4,1.0023117065431908
2,1,4,2,3,-0.10037422180175781
3,1,4,2,2,0.3010034561159447
4,1,4,3,3,0.6024837493894264
0,1,4,2,1,-0.9034872055053711
1,1,3,2,1,-0.40102005004905017
0,1,3,2,1,-0.6009340286252662
1,1,2,2,1,-0.40030479431152344
0,1,1,3,0,-0.6996393203735352
0,1,1,3,0,-1.1970996856689453
0,1,0,2,0,-0.9954571723937988
4,1,0,2,4,0.6965994834899902
2,1,0,2,3,0.0
1,1,0,3,1,-0.19913911819458008
4,1,0,2,4,1.695096492767334
0,1,1,0,2,-0.9978413581848145
3,1,1,1,1,0.29915571212768555
3,1,1,1,3,0.1995563507080078
4,1,3,3,4,2.701401710510254
0,1,3,2,3,-1.0023117065431908
4,1,3,2,3,1.0023117065431908
0,1,4,2,2,-0.601649284362793
3,1,4,2,2,0.40090084075927734
4,1,4,2,4,1.3053417205810547
2,1,4,2,3,0.0
2,1,4,3,1,0.0
3,1,4,3,2,0.3018379211425781
3,1,4,3,3,0.2012252807614967
3,1,4,4,0,0.5034208297733933
0,1,4,4,0,-1.0064840316774681
4,1,3,4,3,0.8050203323366478
1,1,3,4,2,-0.301957130432573
0,1,3,4,0,-0.9050369262693092
1,1,2,4,0,-0.3012418746948242
4,1,2,3,4,1.1055469512937233
4,1,2,4,4,0.6041526794438035
0,1,1,3,0,-2.512216567993386
1,1,1,3,0,-0.40090084075927734
3,1,0,2,2,0.20039081573486328
0,1,0,1,1,-2.0000338554383434
0,1,0,0,3,-1.5941858291623756
4,1,0,1,4,0.9957551956175648
4,1,0,1,4,1.2975335121154785
3,1,0,1,4,0.2999305725097656
0,1,0,0,0,-1.8963813781738281
